X,Y,Z,formation_id,formation
-691980.0154,4543461.256,198.17201,40,Upper Devonian Siliciclastics
-691492.5053,4543836.454,209.73502,40,Upper Devonian Siliciclastics
-704449.2663,4530437.708,357.99902,67,Visean Shales
-704939.6708,4530522.235,344.596,67,Visean Shales
-690980.3922,4543732.939,231.684,40,Upper Devonian Siliciclastics
-690627.8183,4543935.926,237.55402,40,Upper Devonian Siliciclastics
-683954.2147,4547973.498,383.03802,1,Tournaisian Plutonites
-684095.9548,4548418.613,391.096,1,Tournaisian Plutonites
-684336.728,4548705.14,398.29602,1,Tournaisian Plutonites
-684160.4173,4549146.565,340.23203,1,Tournaisian Plutonites
-683697.5061,4549252.018,325.871,1,Tournaisian Plutonites
-683232.2298,4549146.567,335.264,1,Tournaisian Plutonites
-683078.348,4548838.001,290.928,1,Tournaisian Plutonites
-683268.1948,4548392.326,332.815,1,Tournaisian Plutonites
-683580.561,4548001.946,353.23203,1,Tournaisian Plutonites
-689997.3733,4544049.417,273.901,1,Tournaisian Plutonites
-683986.3606,4529297.965,293.588,1,Tournaisian Plutonites
-684308.8923,4529679.892,252.18001,1,Tournaisian Plutonites
-684650.3611,4529945.841,218.44,1,Tournaisian Plutonites
-685128.0348,4529811.737,272.388,1,Tournaisian Plutonites
-685611.5337,4529744.997,349.68402,1,Tournaisian Plutonites
-686085.0519,4529859.868,344.2,1,Tournaisian Plutonites
-686580.8683,4529912.797,327.704,1,Tournaisian Plutonites
-687076.5824,4529976.861,311.43503,1,Tournaisian Plutonites
-687564.418,4530073.385,309.99503,1,Tournaisian Plutonites
-688044.6824,4530155.485,279.678,1,Tournaisian Plutonites
-688535.8322,4530188.911,266.901,1,Tournaisian Plutonites
-688890.5728,4530506.876,316.652,1,Tournaisian Plutonites
-689300.3678,4530782.227,328.5465,1,Tournaisian Plutonites
-689746.0709,4531004.403,307.40802,1,Tournaisian Plutonites
-690236.4809,4531059.534,327.24902,1,Tournaisian Plutonites
-690714.5086,4531192.412,310.536,1,Tournaisian Plutonites
-691166.5684,4531403.804,305.40802,1,Tournaisian Plutonites
-691654.4577,4531483.622,311.61203,1,Tournaisian Plutonites
-692149.3129,4531545.556,263.58002,1,Tournaisian Plutonites
-692648.624,4531565.669,242.852,1,Tournaisian Plutonites
-693145.4736,4531541.8,242.264,1,Tournaisian Plutonites
-693623.8676,4531681.553,221.17902,1,Tournaisian Plutonites
-693960.3446,4532027.301,252.16402,1,Tournaisian Plutonites
-694398.7135,4532193.642,256.204,1,Tournaisian Plutonites
-694874.5629,4532137.708,218.61201,1,Tournaisian Plutonites
-695514.0349,4532326.199,221.36401,1,Tournaisian Plutonites
-695962.948,4532427.265,222.84001,1,Tournaisian Plutonites
-695834.536,4533462.106,264.92,1,Tournaisian Plutonites
-695451.7022,4533141.875,259.50803,1,Tournaisian Plutonites
-694975.6009,4533012.698,290.6875,1,Tournaisian Plutonites
-694607.9806,4532677.499,306.444,1,Tournaisian Plutonites
-693359.698,4532112.148,249.63202,1,Tournaisian Plutonites
-692860.8121,4532105.345,271.388,1,Tournaisian Plutonites
-692369.762,4532058.006,261.948,1,Tournaisian Plutonites
-691933.1818,4532292.172,283.056,1,Tournaisian Plutonites
-691466.5601,4532440.99,273.752,1,Tournaisian Plutonites
-691017.3445,4532658.813,192.85501,1,Tournaisian Plutonites
-690552.0793,4532841.007,161.70801,40,Upper Devonian Siliciclastics
-689956.0096,4532835.229,159.08301,40,Upper Devonian Siliciclastics
-689458.202,4532788.868,162.41,40,Upper Devonian Siliciclastics
-688972.782,4532617.343,155.52402,40,Upper Devonian Siliciclastics
-688464.3794,4532495.684,155.50601,40,Upper Devonian Siliciclastics
-688602.5873,4532916.478,155.50401,40,Upper Devonian Siliciclastics
-688185.628,4533138.497,152.488,40,Upper Devonian Siliciclastics
-687747.0735,4533241.628,117.824005,40,Upper Devonian Siliciclastics
-687096.9525,4533162.179,107.198006,40,Upper Devonian Siliciclastics
-686600.0286,4533210.149,119.02901,40,Upper Devonian Siliciclastics
-686105.5515,4533271.03,202.774,40,Upper Devonian Siliciclastics
-686178.0328,4532703.394,186.44301,1,Tournaisian Plutonites
-686428.7041,4532273.663,141.246,1,Tournaisian Plutonites
-686321.5574,4531865.79,160.852,1,Tournaisian Plutonites
-685967.7383,4531512.526,167.28601,1,Tournaisian Plutonites
-685508.9892,4531382.22,196.216,1,Tournaisian Plutonites
-685103.0376,4531124.04,272.864,1,Tournaisian Plutonites
-684626.9198,4531083.342,254.33202,1,Tournaisian Plutonites
-684186.5916,4531110.203,220.44402,1,Tournaisian Plutonites
-683746.8837,4531268.651,217.29001,1,Tournaisian Plutonites
-683292.5171,4531089.672,212.68001,1,Tournaisian Plutonites
-682803.4029,4531183.793,245.98401,1,Tournaisian Plutonites
-682345.1182,4531031.425,219.06801,1,Tournaisian Plutonites
-681889.0925,4530921.647,194.936,1,Tournaisian Plutonites
-681472.447,4530770.106,182.155,1,Tournaisian Plutonites
-680990.4433,4530664.179,165.81601,1,Tournaisian Plutonites
-680540.7413,4530531.739,134.133,1,Tournaisian Plutonites
-684053.6646,4530371.507,168.74,1,Tournaisian Plutonites
-683693.9018,4530497.257,162.42801,1,Tournaisian Plutonites
-703428.4701,4530697.017,365.9175,67,Visean Shales
-703879.8463,4530777.386,345.768,67,Visean Shales
-704366.273,4530886.239,328.976,67,Visean Shales
-704816.3053,4531095.302,318.276,67,Visean Shales
-703096.2481,4530753.515,400.72003,67,Visean Shales
-702601.0043,4530793.719,363.62802,67,Visean Shales
-700077.2211,4544308.012,295.30103,1,Tournaisian Plutonites
-699648.3348,4544261.984,270.652,1,Tournaisian Plutonites
-699156.6951,4544191.405,298.256,1,Tournaisian Plutonites
-698662.1622,4544129.041,263.68402,1,Tournaisian Plutonites
-698225.9742,4543888.846,226.044,1,Tournaisian Plutonites
-697734.569,4543804.661,217.076,1,Tournaisian Plutonites
-697256.8926,4543672.133,209.348,1,Tournaisian Plutonites
-696780.3363,4543545.082,204.60802,1,Tournaisian Plutonites
-696292.9616,4543439.503,158.699,1,Tournaisian Plutonites
-694189.8185,4543352.934,155.5,1,Tournaisian Plutonites
-693921.1584,4543073.727,155.5,1,Tournaisian Plutonites
-691194.2158,4537454.232,156.27701,1,Tournaisian Plutonites
-691960.7139,4538000.157,253.309,1,Tournaisian Plutonites
-692454.8226,4538041.888,293.26102,1,Tournaisian Plutonites
-692884.1639,4538207.907,321.07602,1,Tournaisian Plutonites
-693327.0617,4538249.786,320.29126,1,Tournaisian Plutonites
-693806.0885,4538128.946,354.148,1,Tournaisian Plutonites
-694249.9116,4537914.417,344.50803,1,Tournaisian Plutonites
-694704.6161,4537713.971,365.096,1,Tournaisian Plutonites
-695104.5061,4537522.108,325.673,1,Tournaisian Plutonites
-695372.2705,4537184.344,318.54303,1,Tournaisian Plutonites
-695638.6407,4536769.1,336.125,1,Tournaisian Plutonites
-695595.7131,4536353.853,311.39703,1,Tournaisian Plutonites
-695255.5379,4536092.712,314.26,1,Tournaisian Plutonites
-694797.0486,4535959.564,287.57602,1,Tournaisian Plutonites
-694461.5127,4535617.948,316.488,1,Tournaisian Plutonites
-694138.7077,4535505.483,290.0635,1,Tournaisian Plutonites
-693839.5605,4535290.557,275.242,1,Tournaisian Plutonites
-693488.8846,4535065.603,278.78403,1,Tournaisian Plutonites
-693047.2268,4535227.619,274.66403,1,Tournaisian Plutonites
-692722.1487,4534966.097,288.40802,1,Tournaisian Plutonites
-692416.7793,4534570.181,343.77203,1,Tournaisian Plutonites
-692126.3707,4534163.468,343.69403,1,Tournaisian Plutonites
-691835.3299,4533757.228,348.592,1,Tournaisian Plutonites
-691401.4688,4533928.862,332.63025,1,Tournaisian Plutonites
-691131.7289,4533599.227,299.256,1,Tournaisian Plutonites
-691184.1855,4533132.372,311.4205,1,Tournaisian Plutonites
-693673.2068,4532171.64,242.70001,1,Tournaisian Plutonites
-696424.1172,4533922.696,235.436,1,Tournaisian Plutonites
-696878.1487,4533956.548,237.932,1,Tournaisian Plutonites
-703848.8778,4537799.106,330.984,51,Upper Carboniferous Volcanics
-703474.9497,4537531.724,302.95,51,Upper Carboniferous Volcanics
-703029.8626,4537306.469,287.36102,51,Upper Carboniferous Volcanics
-703682.7847,4538073.948,310.42978,51,Upper Carboniferous Volcanics
-702331.4269,4536709.276,267.004,51,Upper Carboniferous Volcanics
-698476.8321,4533922.542,275.60202,1,Tournaisian Plutonites
-698066.287,4533637.153,287.57602,1,Tournaisian Plutonites
-697656.5369,4533350.622,264.885,1,Tournaisian Plutonites
-697238.2871,4533076.638,280.52902,1,Tournaisian Plutonites
-696812.1267,4532815.906,254.16975,1,Tournaisian Plutonites
-696368.1901,4532585.972,247.46,1,Tournaisian Plutonites
-694833.3878,4531125.784,229.48901,51,Upper Carboniferous Volcanics
-695329.2654,4531133.104,243.51501,51,Upper Carboniferous Volcanics
-695823.1938,4531056.21,261.83902,51,Upper Carboniferous Volcanics
-696319.3789,4531001.525,265.476,51,Upper Carboniferous Volcanics
-696814.786,4530944.271,284.076,51,Upper Carboniferous Volcanics
-697313.0973,4530973.659,304.63202,67,Visean Shales
